X1,Y1,X2,Y2
0,4105,4971,4105
0,6,4971,6
8,4104,8,9
285,3142,1305,3142
285,3143,1355,3143
2982,3143,3484,3143
3603,2574,4093,2574
3662,2565,4087,2565
4166,2568,4723,2568
2339,3139,2905,3139
2334,3144,2963,3144
284,2566,863,2566
1427,2565,2103,2565
1424,2573,2142,2573
2730,2282,3143,2282
1051,3429,2674,3429
1044,3422,2718,3422
701,2290,790,2291
694,2284,837,2284
698,2288,863,2288
2750,3423,3517,3423
1427,2618,1427,2566
1424,2286,1869,2286
1424,3313,1424,2762
1425,1598,1425,502
1048,3426,2024,3426
1049,3427,2073,3427
3992,3715,3992,3606
2985,3707,4854,3707
2113,3426,2659,3426
3420,2283,3999,2283
3999,3524,3999,1907
3998,3524,3998,1938
4567,2574,4567,570
3069,3714,4852,3714
3880,3712,4854,3712
481,1717,2098,1717
1427,3426,1427,3342
1430,2289,1430,1630
2287,3715,2287,2195
2280,3715,2280,2232
2285,3715,2285,2268
1718,1719,1718,1356
3602,3715,4850,3715
484,1719,2021,1719
284,1713,2022,1713
2433,3706,2618,3706
2526,3712,2582,3712
4564,2574,4564,1011
1710,1245,1710,705
1718,1298,1718,705
3575,1716,3714,1716
3420,1716,3515,1716
3420,1718,3551,1718
1715,678,1715,414
2283,2150,2283,1965
2285,1935,2288,2131
966,1710,1090,1710
4566,2574,4566,1096
1287,1433,1717,1433
3420,3427,3420,2725
303,1431,577,1431
792,2857,1834,2857
3425,2672,3425,2175
861,2859,861,2484
2931,1427,3602,1427
569,2851,712,2851
3427,2084,3427,1882
3428,1859,3428,1425
792,2852,2283,2852
3421,2084,3421,1425
856,1819,856,1318
3140,2574,3140,1425
3141,3715,3141,3308
3991,1511,3991,1325
3992,1377,3994,1508
3705,2903,3705,2565
862,2391,862,2282
3707,2289,3707,1710
3423,3429,3423,2833
1863,2856,2283,2856
4277,1553,4277,570
855,1245,855,856
938,1434,1264,1434
286,2154,286,1443
287,3014,287,2519
3420,1995,4602,1995
3420,2004,4650,2004
4281,1019,4281,570
4275,1049,4275,570
3708,3429,3708,3001
567,1710,662,1710
857,3429,857,3137
576,3144,576,2724
293,2458,293,2226
575,2705,575,2013
2574,2598,2574,2282
2567,2654,2567,2282
2565,2701,2565,2282
2571,2735,2571,2282
290,2790,290,2519
4278,1260,4278,570
2567,3715,2567,3341
4695,1996,4853,1996
4847,2378,4847,2195
4851,2200,4855,2408
4282,1549,4282,1240
4854,2839,4854,2444
3955,3706,4854,3706
4853,3544,4853,2869
570,1985,570,1425
569,2536,569,2015
2574,3247,2574,2692
2573,3247,2573,2733
284,1767,284,1626
854,1146,1582,1146
587,1715,1145,1715
478,1714,1313,1714
854,1140,1718,1140
3990,1148,4154,1148
565,1716,1321,1716
1717,2414,1717,2280
3990,1143,4091,1143
854,1149,1497,1149
284,2916,284,2518
3906,2289,3989,2289
3253,2569,3403,2569
3138,2573,3561,2573
1317,575,1446,575
1317,576,1478,576
4047,570,4566,570
3,3840,3,3725
1919,2286,2169,2286
286,3144,1717,3144
1317,572,1550,572
343,2289,359,2289
284,2281,616,2281
284,2282,661,2282
1712,3143,1712,2484
1717,3143,1717,2517
2311,3714,2350,3714
2296,3710,2418,3710
2345,3712,2418,3711
3614,3424,3714,3424
1108,1710,2107,1710
1606,1143,1717,1143
2822,2283,3134,2283
2219,3715,2345,3713
1140,3287,1140,3023
587,2284,661,2284
1147,1709,1147,1425
3,672,3,608
1586,575,1718,575
1430,2682,1430,2566
855,1432,1235,1432
857,1433,1265,1433
3,2646,3,2565
1370,3137,1528,3139
1385,3141,1555,3143
1142,3420,1142,3311
4282,1994,4282,1627
4275,1994,4275,1685
4854,2105,4854,1997
1085,3046,1203,3048
2989,3710,3071,3710
1428,2994,1431,3175
863,1465,863,1422
2809,3712,2837,3712
2747,3709,2934,3706
263,2521,315,2521
2616,3710,2935,3705
2148,1716,2288,1711
1430,3313,1430,3119
1425,3313,1427,3177
3,719,3,695
1046,856,1430,856
1092,860,1424,860
3708,2972,3708,2566
1423,3135,1668,3139
4851,3473,4851,2869
863,3304,863,3137
856,857,949,857
3,801,3,739
2165,2283,2593,2283
2992,3082,3054,3068
2612,3070,2645,3070
2612,3044,2646,3038
286,2567,688,2567
3990,1819,3993,1623
3991,1822,3993,1664
3995,1594,3998,1816
4815,2574,4853,2575
3586,2289,3613,2289
1425,2181,1427,2010
1431,1983,1433,2153
291,3138,291,3042
2289,2180,2289,2222
1455,529,1455,502
3,589,3,541
1425,1724,1427,1895
1912,2280,2106,2280
1626,3141,1718,3142
1667,3141,1718,3141
1558,1740,1585,1739
1534,3141,1705,3143
1551,3136,1718,3138
3998,1369,3998,1337
2812,3709,2933,3707
1425,2277,1427,2107
1431,2128,1433,2289
285,1716,449,1722
3051,3425,3336,3430
288,2463,288,2362
3990,1724,3992,1577
3996,1577,3999,1754
574,1986,574,1727
2157,2564,2279,2568
3,4109,3,3894
3491,3165,3626,3168
595,2574,680,2573
1715,2931,1716,3044
1718,2605,1720,2484
1426,1630,1427,1722
1431,1755,1433,1630
3242,3425,3520,3429
1429,2802,1429,2762
1430,2848,1431,2762
3719,3141,3808,3144
3834,3640,3868,3640
3406,3425,3520,3427
3335,3136,3375,3144
3842,3145,3924,3145
3834,3138,3989,3138
2099,2290,2174,2291
2281,1710,2284,1904
853,1298,855,1431
3353,2760,3389,2759
1431,1980,1433,1809
854,3421,932,3421
854,3425,967,3421
2143,1712,2226,1709
3063,3141,3484,3141
3464,2571,3520,2572
1425,3244,1427,3073
3171,3425,3447,3429
4850,3412,4850,2869
1725,2484,1745,2488
1431,2222,1432,2289
3706,2773,3707,2886
2130,3363,2191,3360
2139,2290,2235,2291
854,1727,855,1625
2541,3715,2654,3714
2498,3421,2554,3421
2164,2289,2293,2289
1715,2988,1716,3096
1400,3344,1457,3341
485,1720,579,1720
863,914,863,886
3375,2078,3377,2181
1761,2280,1817,2281
216,2959,232,2960
2851,3426,3072,3429
3327,3429,3355,3429
1921,2853,1939,2853
2166,2857,2251,2859
859,1720,861,1819
1715,2887,1716,2987
284,2364,284,2257
1356,1716,2099,1716
