x_min,y_min,x_max,y_max
1483,497,1654,543
1382,660,1483,699
1359,691,1406,800
4490,916,4536,1087
1483,1072,1654,1110
4109,1103,4164,1142
784,1227,823,1367
4210,1235,4257,1343
3954,1266,4039,1289
3923,1491,3962,1654
4202,1491,4249,1654
4575,1507,4614,1701
1204,1639,1312,1685
3480,1639,3651,1678
2058,1747,2229,1794
349,1747,512,1794
3348,1779,3394,1934
3915,1779,3962,1942
1437,1802,1476,1988
4622,1926,4777,1965
217,2058,256,2221
1779,2097,1825,2260
637,2206,800,2252
2625,2206,2796,2252
217,2346,256,2509
1639,2361,1678,2509
4777,2361,4816,2509
349,2493,504,2540
637,2493,792,2540
1779,2493,1942,2540
3231,2493,3332,2540
3480,2493,3643,2540
2097,2517,2167,2555
652,2548,753,2594
2089,2555,2175,2579
2097,2594,2159,2618
4622,2602,4793,2649
1460,2633,1507,2788
637,2781,800,2827
1771,2781,1934,2827
1437,2812,1631,2851
1810,2827,1895,2874
4863,2905,4902,3115
1406,2928,1460,3014
1196,2921,1398,3099
1110,2936,1165,2967
3635,2936,3674,3084
1103,2967,1196,2998
1110,3006,1180,3045
2361,3060,2517,3099
3767,3060,3930,3107
582,3091,784,3130
3791,3115,3868,3169
3480,3169,3651,3208
1359,3200,1398,3286
1180,3200,1227,3363
3107,3231,3146,3255
2532,3239,2602,3270
916,3348,1087,3387
1437,3379,1631,3418
4777,3480,4816,3651
3946,3527,4008,3550
2346,3635,2509,3674
2625,3628,2788,3674
2913,3635,3084,3682
3433,3659,3651,3721
